Date,Location,District,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,AQI,AQI_Category
2022-01-01,Bam,Dhenkanal,16.0,18.2,16.9,1.0,1.25,6.5,22.0,47.4,59,Satisfactory
2022-01-01,Baruan (K),Dhenkanal,15.9,34.7,11.1,3.1,0.2,8.1,24.9,42.7,35,Good
2022-01-01,Bhusal,Dhenkanal,18.3,30.3,11.8,5.6,0.25,16.3,16.1,51.5,31,Good
2022-01-01,Bido,Dhenkanal,5.3,10.0,12.8,1.6,0.48,17.8,18.8,42.6,24,Good
2022-01-01,Ganeshwarpur,Dhenkanal,21.3,39.3,16.9,6.6,0.5,5.0,20.9,61.6,39,Good
2022-01-01,Ghatipiri,Dhenkanal,15.5,28.4,5.1,8.0,0.66,12.4,21.8,43.7,33,Good
2022-01-01,Gobindapur,Dhenkanal,5.5,10.0,5.7,3.9,0.44,11.1,23.5,50.9,22,Good
2022-01-01,Jagannathpur,Dhenkanal,20.7,60.1,2.0,3.4,0.23,5.8,22.9,50.8,60,Satisfactory
2022-01-01,Jajpur Road,Jajpur,83.36000000000001,190.08,26.72,12.32,0.32000000000000006,26.880000000000003,16.4,40.6,228,Poor
2022-01-01,Kottam,Dhenkanal,13.4,26.8,3.0,3.3,0.43,5.1,22.7,60.2,27,Good
2022-01-01,Manikera,Kalahandi,12.090000000000002,24.31,17.16,2.3400000000000003,0.676,32.11,22.5,64.2,29,Good
2022-01-01,Motanga,Dhenkanal,26.1,31.0,16.7,2.4,0.59,34.1,20.6,61.5,44,Good
2022-01-01,Mukhiguda,Kalahandi,30.03,48.62,25.61,1.9500000000000002,1.183,22.619999999999997,19.8,42.1,58,Satisfactory
2022-01-01,Siletpada,Kalahandi,45.11000000000001,107.64,11.83,3.25,0.26,18.07,22.1,61.3,129,Moderate
2022-01-02,Anandapur,Keonjhar,75.2,122.8,45.2,5.0,0.62,59.4,24.5,43.7,147,Moderate
2022-01-02,Bega,Dhenkanal,11.9,15.9,3.0,1.6,0.22,11.3,23.4,51.7,20,Good
2022-01-02,Berhampur,Ganjam,29.4,75.4,32.6,10.7,0.51,42.0,17.9,49.4,75,Satisfactory
2022-01-02,Champua,Keonjhar,195.0,342.8,41.0,19.2,2.36,35.0,16.1,57.4,411,Severe
2022-01-02,Gada Nrusingha Prasad,Dhenkanal,6.7,12.3,2.0,4.3,0.2,5.0,20.4,50.9,12,Good
2022-01-02,Gondia,Dhenkanal,35.3,72.2,62.6,3.8,0.51,22.8,15.3,47.3,78,Satisfactory
2022-01-02,Gulehi,Dhenkanal,5.0,20.6,2.0,6.2,0.2,11.4,15.4,53.4,21,Good
2022-01-02,Kalam,Kalahandi,25.61,41.730000000000004,30.94,1.3,0.26,12.61,20.9,64.6,50,Good
2022-01-02,Kaluria,Dhenkanal,34.2,65.8,7.1,1.6,0.2,12.9,18.2,44.1,66,Satisfactory
2022-01-02,Khordha,Khordha,62.28,131.4,18.0,9.18,0.36000000000000004,46.800000000000004,17.4,46.6,157,Moderate
2022-01-02,Risida,Kalahandi,23.790000000000003,30.03,23.14,3.12,0.42900000000000005,16.12,24.6,50.4,36,Good
2022-01-02,Risida (Karlamunda),Kalahandi,56.42,152.23,16.900000000000002,16.77,0.28600000000000003,13.78,23.2,60.0,182,Moderate
2022-01-03,Bhawanipatna,Kalahandi,17.290000000000003,31.46,7.15,2.8600000000000003,0.624,61.75,22.4,41.6,49,Good
2022-01-03,Bhursha,Kalahandi,34.71,66.95,13.520000000000001,1.3,1.0530000000000002,14.3,23.2,61.3,80,Satisfactory
2022-01-03,Chandapur,Dhenkanal,5.0,10.0,10.6,8.7,0.5,15.5,16.4,40.8,25,Good
2022-01-03,Duhuria,Kalahandi,18.98,33.93,30.03,5.460000000000001,0.7020000000000001,33.93,24.8,62.1,40,Good
2022-01-03,Kantol,Dhenkanal,18.8,39.7,2.0,9.1,0.81,5.0,21.6,56.9,40,Good
2022-01-03,Kuninda,Dhenkanal,25.5,83.7,7.8,1.4,1.09,14.7,16.1,53.2,84,Satisfactory
2022-01-03,Mahalunda,Dhenkanal,11.9,27.1,2.8,2.2,0.77,7.5,16.9,57.8,38,Good
2022-01-03,Motanga,Dhenkanal,55.1,109.0,15.5,11.1,0.2,31.1,22.0,55.2,106,Moderate
2022-01-03,Nadhera,Dhenkanal,30.5,61.4,16.8,6.0,0.35,8.3,22.2,64.2,61,Satisfactory
2022-01-03,Sankulei,Dhenkanal,5.2,10.0,10.5,1.6,0.41,20.2,23.9,44.8,20,Good
2022-01-04,Badalo,Dhenkanal,18.0,19.4,6.1,5.5,0.55,20.5,20.9,50.4,30,Good
2022-01-04,Bhalibol Kateni,Dhenkanal,28.4,78.5,3.5,1.8,0.26,5.0,16.3,57.6,78,Satisfactory
